fa_ffcl_shrt,scenario,decade,contnnt,spatial_scale,mean,median,sd,min,max,n_model,agreement,wilcox_p,SD > mean,Loss,,,,,,,,,,,
Timor-Leste,ssp585,2091-2100,Asia,countries,-13.34137199,-14.53718502,12.38186733,-27.31958372,5.671708123,10,80,6.74E-07,FALSE,,,,,,,,,,,,
Sri Lanka,ssp585,2041-2050,Asia,countries,-13.30181869,-12.02139653,6.007177673,-23.99884265,-3.228580751,10,100,0.037030067,FALSE,1,,,,,,,,,,,
Guatemala,ssp126,2041-2050,Americas,countries,-13.26994678,-11.32820473,13.29215952,-43.04312674,1.998214716,10,90,0.59850591,,,,,,,,,,,,,
Benin,ssp585,2041-2050,Africa,countries,-13.26658805,-16.33690277,8.160917169,-24.54569581,-1.549899528,10,100,3.42E-06,,,,,,,,,,,,,
Ascension,ssp585,2041-2050,Africa,countries,-13.25150129,-12.14790494,8.007173997,-34.39735188,-5.354946026,10,100,6.43E-06,,,,,,,,,,,,,
Costa Rica,ssp126,2041-2050,Americas,countries,-13.17048745,-9.413791778,16.2984647,-50.74353988,4.487189706,10,80,0.224142681,,,,,,,,,,,,,
Liberia,ssp126,2041-2050,Africa,countries,-13.15747732,-10.81811991,5.27484378,-21.83034812,-7.58048596,10,100,0.000241422,,,,,,,,,,,,,
Saint Helena,ssp585,2041-2050,Africa,countries,-13.08612597,-13.07627256,7.054746771,-22.32177223,-2.665784225,10,100,2.14E-05,,,,,,,,,,,,,
Venezuela (Bolivarian Republic of),ssp585,2091-2100,Americas,countries,-13.02068695,-2.777834701,19.55608689,-40.15065071,8.361850255,10,70,0.018562361,,,,,,,,,,,,,
Guatemala,ssp126,2091-2100,Americas,countries,-12.96954846,-13.4424298,6.407073735,-19.78728282,-3.469299492,10,100,2.77E-15,,,,,,,,,,,,,
Cayman Islands,ssp585,2091-2100,Americas,countries,-12.953749,-8.232755141,16.08652839,-39.99564367,6.643954843,10,70,0.112516929,,,,,,,,,,,,,
United States of America (Alaska),ssp585,2041-2050,Americas,countries,-12.83333548,-11.96640938,7.972256546,-29.3041139,-2.581217731,10,100,0.01124422,,,,,,,,,,,,,
El Salvador,ssp126,2091-2100,Americas,countries,-12.57239344,-10.65322233,8.578679669,-27.46655398,-3.069235789,10,100,1.64E-13,,,,,,,,,,,,,
Saudi Arabia,ssp585,2091-2100,Asia,countries,-12.48559237,-12.02374625,24.58691026,-40.16066958,18.25186339,10,60,0.100345898,TRUE,,,,,,,,,,,,
