"","O_name_En_Website","Short_name_En_Website","Country_name","Continent_name","Continent_ID","ISO3_country","ISO3_territory","O_Name_En_Emmanuel","O_Name_En_Stefania","Romname_Emmanuel","Maplab_Emmanuel","Short_name_En_Website2"
"106","the Republic of Haiti","Haiti","Haiti","America","AME","HTI","HTI","the Republic of Haiti","the Republic of Haiti","Haiti","Haiti","Haiti"
"107",NA,NA,"Holy See","Europe","EUR","VAT","VAT","Holy See",NA,"Holy See","Holy See",NA
"108","the Republic of Honduras","Honduras","Honduras","America","AME","HND","HND","the Republic of Honduras","the Republic of Honduras","Honduras","Honduras","Honduras"
"109","Hungary","Hungary","Hungary","Europe","EUR","HUN","HUN","Hungary","Hungary","Hungary","Hungary","Hungary"
"110",NA,NA,"Iceland","Europe","EUR","ISL","ISL","the Republic of Iceland",NA,"Iceland","Iceland",NA
"111","the Republic of India","India","India","Asia","ASI","IND","IND","the Republic of India","the Republic of India","India","India","India"
"112",NA,NA,"India","Asia","ASI","IND","xAP","",NA,"Arunachal Pradesh","",NA
"113","the Republic of Indonesia","Indonesia","Indonesia","Asia","ASI","IDN","IDN","the Republic of Indonesia","the Republic of Indonesia","Indonesia","Indonesia","Indonesia"
"114","the Islamic Republic of Iran","Islamic Republic of Iran (the)","Iran (Islamic Rep. of)","Asia","ASI","IRN","IRN","the Islamic Republic of Iran","the Islamic Republic of Iran","Iran (Islamic Republic of)","Iran (Islamic Republic of)","Iran (Islamic Republic of)"
"115","the Republic of Iraq","Iraq","Iraq","Asia","ASI","IRQ","IRQ","the Republic of Iraq","the Republic of Iraq","Iraq","Iraq","Iraq"
"116","Ireland","Ireland","Ireland","Europe","EUR","IRL","IRL","Ireland","Ireland","Ireland","Ireland","Ireland"
"117","the State of Israel","Israel","Israel","Asia","ASI","ISR","ISR","the State of Israel","the State of Israel","Israel","Israel","Israel"
"118","the Republic of Italy","Italy","Italy","Europe","EUR","ITA","ITA","the Republic of Italy","the Republic of Italy","Italy","Italy","Italy"
"119","Jamaica","Jamaica","Jamaica","America","AME","JAM","JAM","Jamaica","Jamaica","Jamaica","Jamaica","Jamaica"
"120","Japan","Japan","Japan","Asia","ASI","JPN","JPN","Japan","Japan","Japan","Japan","Japan"
"121",NA,NA,"Japan","Asia","ASI","JPN","xSK","",NA,"Senkaku Islands","",NA
"122","the Hashemite Kingdom of Jordan","Jordan","Jordan","Asia","ASI","JOR","JOR","the Hashemite Kingdom of Jordan","the Hashemite Kingdom of Jordan","Jordan","Jordan","Jordan"
"123","the Republic of Kazakhstan","Kazakhstan","Kazakhstan","Asia","ASI","KAZ","KAZ","the Republic of Kazakhstan","the Republic of Kazakhstan","Kazakhstan","Kazakhstan","Kazakhstan"
"124","the Republic of Kenya","Kenya","Kenya","Africa","AFR","KEN","KEN","the Republic of Kenya","the Republic of Kenya","Kenya","Kenya","Kenya"
"125","the Republic of Kiribati","Kiribati","Kiribati","Oceania","OCE","KIR","KIR","the Republic of Kiribati","the Republic of Kiribati","Kiribati","Kiribati","Kiribati"
"126","the Democratic People's Republic of Korea","Democratic People's Republic of Korea (the)","Korea, Dem. People's Rep","Asia","ASI","PRK","PRK","the Democratic People's Republic of Korea","the Democratic People's Republic of Korea","Democratic People's Republic of Korea","Democratic People's Republic of Korea","Democratic People's Republic of Korea"
"127","the Republic of Korea","Republic of Korea (the)","Korea, Republic of","Asia","ASI","KOR","KOR","the Republic of Korea","the Republic of Korea","Republic of Korea","Republic of Korea","Republic of Korea"
"128","the State of Kuwait","Kuwait","Kuwait","Asia","ASI","KWT","KWT","the State of Kuwait","the State of Kuwait","Kuwait","Kuwait","Kuwait"
"129","the Kyrgyz Republic","Kyrgyzstan","Kyrgyzstan","Asia","ASI","KGZ","KGZ","the Kyrgyz Republic","the Kyrgyz Republic","Kyrgyzstan","Kyrgyzstan","Kyrgyzstan"
"130","the Lao People's Democratic Republic","Lao People's Democratic Republic (the)","Lao People's Dem. Rep.","Asia","ASI","LAO","LAO","the Lao People's Democratic Republic","the Lao People's Democratic Republic","Lao People's Democratic Republic","Lao People's Democratic Republic","Lao People's Democratic Republic"
"131","the Republic of Latvia","Latvia","Latvia","Europe","EUR","LVA","LVA","the Republic of Latvia","the Republic of Latvia","Latvia","Latvia","Latvia"
"132","the Lebanese Republic","Lebanon","Lebanon","Asia","ASI","LBN","LBN","the Lebanese Republic","the Lebanese Republic","Lebanon","Lebanon","Lebanon"
"133","the Kingdom of Lesotho","Lesotho","Lesotho","Africa","AFR","LSO","LSO","the Kingdom of Lesotho","the Kingdom of Lesotho","Lesotho","Lesotho","Lesotho"
"134","the Republic of Liberia","Liberia","Liberia","Africa","AFR","LBR","LBR","the Republic of Liberia","the Republic of Liberia","Liberia","Liberia","Liberia"
"135",NA,NA,"Libya","Africa","AFR","LBY","LBY","State of Libya",NA,"Libya","Libya",NA
"136","the Principality of Liechtenstein","Liechtenstein","Liechtenstein","Europe","EUR","LIE","LIE","the Principality of Liechtenstein","the Principality of Liechtenstein","Liechtenstein","Liechtenstein","Liechtenstein"
"137","the Republic of Lithuania","Lithuania","Lithuania","Europe","EUR","LTU","LTU","the Republic of Lithuania","the Republic of Lithuania","Lithuania","Lithuania","Lithuania"
"138","the Grand Duchy of Luxembourg","Luxembourg","Luxembourg","Europe","EUR","LUX","LUX","the Grand Duchy of Luxembourg","the Grand Duchy of Luxembourg","Luxembourg","Luxembourg","Luxembourg"
"139","the Republic of Madagascar","Madagascar","Madagascar","Africa","AFR","MDG","MDG","the Republic of Madagascar","the Republic of Madagascar","Madagascar","Madagascar","Madagascar"
"140","the Republic of Malawi","Malawi","Malawi","Africa","AFR","MWI","MWI","the Republic of Malawi","the Republic of Malawi","Malawi","Malawi","Malawi"
"141","Malaysia","Malaysia","Malaysia","Asia","ASI","MYS","MYS","Malaysia","Malaysia","Malaysia","Malaysia","Malaysia"
"142","the Republic of Maldives","Maldives","Maldives","Asia","ASI","MDV","MDV","the Republic of Maldives","the Republic of Maldives","Maldives","Maldives","Maldives"
"143","the Republic of Mali","Mali","Mali","Africa","AFR","MLI","MLI","the Republic of Mali","the Republic of Mali","Mali","Mali","Mali"
